브랜드,차종,연식,주행거리_만km,연료,사고이력,가격_만원
아우디,대형,2016,20.2,가솔린,사고이력,1360.0
아우디,대형,2010,20.9,하이브리드,단순수리,830.0
쉐보레,준중형,2012,19.9,하이브리드,단순수리,260.0
기아,경차,2026,0.0,가솔린,무사고,1310.0
현대,SUV,2020,10.5,가솔린,무사고,1410.0
기아,중형,2010,20.8,디젤,무사고,300.0
벤츠,준중형,2013,25.2,가솔린,무사고,590.0
현대,SUV,2011,8.1,디젤,단순수리,460.0
쉐보레,중형,2018,6.8,디젤,무사고,960.0
아우디,대형,2020,9.1,가솔린,무사고,3410.0
기아,준중형,2015,21.0,가솔린,무사고,400.0
벤츠,준중형,2018,15.1,가솔린,단순수리,970.0
현대,경차,2009,29.8,가솔린,무사고,150.0
벤츠,중형,2016,11.4,디젤,무사고,1210.0
현대,중형,2026,0.0,가솔린,사고이력,2990.0
벤츠,SUV,2016,9.3,하이브리드,무사고,1690.0
기아,SUV,2019,5.0,하이브리드,단순수리,1480.0
BMW,준중형,2019,10.8,가솔린,무사고,1370.0
기아,대형,2010,10.5,가솔린,사고이력,490.0
기아,대형,2019,3.2,가솔린,단순수리,1990.0
르노코리아,SUV,2017,18.4,가솔린,무사고,660.0
KG모빌리티,SUV,2016,6.1,하이브리드,무사고,920.0
현대,대형,2020,6.1,디젤,단순수리,1950.0
테슬라,SUV,2012,7.8,전기,무사고,1000.0
폭스바겐,SUV,2014,25.8,가솔린,무사고,730.0
현대,대형,2008,22.0,하이브리드,단순수리,410.0
렉서스,중형,2017,9.6,디젤,무사고,1210.0
벤츠,중형,2012,28.8,가솔린,단순수리,620.0
현대,중형,2019,14.7,가솔린,단순수리,960.0
르노코리아,중형,2010,9.4,가솔린,단순수리,290.0
르노코리아,SUV,2021,7.1,하이브리드,단순수리,1580.0
현대,중형,2010,33.2,가솔린,무사고,310.0
테슬라,SUV,2013,27.0,전기,무사고,820.0
현대,SUV,2010,20.9,디젤,사고이력,270.0
쉐보레,중형,2022,2.8,하이브리드,단순수리,1790.0
KG모빌리티,SUV,2019,15.0,가솔린,무사고,890.0
벤츠,SUV,2024,3.6,가솔린,단순수리,4980.0
현대,전기차 전용,2009,26.1,전기,단순수리,390.0
현대,전기차 전용,2025,0.6,전기,무사고,4720.0
현대,SUV,2009,13.6,디젤,단순수리,280.0
기아,전기차 전용,2017,17.6,전기,무사고,1090.0
기아,준중형,2012,21.0,가솔린,무사고,280.0
현대,경차,2023,2.1,가솔린,단순수리,900.0
포르쉐,스포츠카,2023,5.5,하이브리드,무사고,17520.0
KG모빌리티,SUV,2024,2.5,디젤,무사고,2230.0
르노코리아,준중형,2015,9.3,가솔린,무사고,430.0
벤츠,준중형,2013,27.9,가솔린,무사고,580.0
볼보,대형,2020,11.1,디젤,무사고,2740.0
기아,대형,2021,9.9,디젤,무사고,2300.0
현대,대형,2025,0.2,하이브리드,무사고,5730.0
아우디,SUV,2025,0.3,가솔린,단순수리,4990.0
BMW,준중형,2018,10.6,하이브리드,단순수리,1230.0
BMW,준중형,2025,0.0,가솔린,단순수리,3600.0
아우디,준중형,2020,6.6,하이브리드,무사고,1770.0
기아,준중형,2010,12.8,가솔린,무사고,260.0
BMW,SUV,2025,2.3,가솔린,사고이력,4680.0
테슬라,전기차 전용,2010,31.2,전기,무사고,740.0
벤츠,대형,2008,22.4,가솔린,무사고,690.0
기아,대형,2025,1.1,LPG,단순수리,4050.0
폭스바겐,준중형,2010,35.0,디젤,무사고,270.0
현대,준중형,2012,10.8,가솔린,사고이력,280.0
현대,경차,2008,9.9,하이브리드,무사고,150.0
현대,SUV,2023,6.4,디젤,단순수리,1900.0
기아,경차,2010,22.6,디젤,단순수리,150.0
벤츠,준중형,2011,15.1,LPG,단순수리,370.0
BMW,준중형,2008,35.3,가솔린,무사고,280.0
포르쉐,SUV,2016,18.4,디젤,무사고,2120.0
기아,중형,2018,13.5,LPG,무사고,810.0
제네시스,SUV,2017,6.5,가솔린,무사고,1600.0
BMW,중형,2020,6.9,가솔린,무사고,2370.0
현대,준중형,2015,15.1,디젤,무사고,410.0
BMW,대형,2020,6.2,가솔린,무사고,4070.0
제네시스,SUV,2017,15.9,하이브리드,무사고,1260.0
아우디,준중형,2013,25.5,하이브리드,무사고,530.0
기아,중형,2011,14.8,가솔린,단순수리,350.0
제네시스,SUV,2010,23.8,가솔린,사고이력,420.0
아우디,중형,2013,21.1,가솔린,단순수리,610.0
기아,SUV,2017,6.8,하이브리드,사고이력,960.0
폭스바겐,SUV,2026,0.7,가솔린,무사고,5090.0
쉐보레,준중형,2016,7.3,하이브리드,무사고,590.0
기아,준중형,2017,12.4,가솔린,무사고,630.0
BMW,대형,2020,9.8,가솔린,무사고,3600.0
기아,전기차 전용,2024,2.8,전기,단순수리,3880.0
테슬라,전기차 전용,2019,13.1,전기,무사고,2460.0
현대,경차,2015,22.8,가솔린,무사고,210.0
현대,대형,2025,1.4,디젤,무사고,4510.0
벤츠,대형,2020,13.7,가솔린,단순수리,3240.0
벤츠,중형,2026,0.0,가솔린,단순수리,5980.0
BMW,SUV,2020,12.3,가솔린,단순수리,2180.0
기아,경차,2010,9.2,가솔린,사고이력,150.0
포르쉐,스포츠카,2015,21.1,디젤,단순수리,3910.0
폭스바겐,준중형,2008,21.0,가솔린,단순수리,210.0
아우디,준중형,2024,3.9,가솔린,무사고,2990.0
볼보,대형,2008,24.7,가솔린,무사고,570.0
벤츠,중형,2012,28.3,하이브리드,무사고,770.0
제네시스,중형,2013,25.7,가솔린,무사고,660.0
폭스바겐,중형,2026,0.0,가솔린,무사고,4810.0
벤츠,대형,2019,8.1,가솔린,무사고,3470.0
현대,중형,2011,7.8,디젤,무사고,430.0
테슬라,SUV,2022,5.6,전기,사고이력,2680.0
기아,전기차 전용,2025,0.1,전기,무사고,5160.0
기아,전기차 전용,2012,15.1,전기,단순수리,580.0
BMW,중형,2023,5.9,가솔린,사고이력,2960.0
폭스바겐,SUV,2025,1.6,디젤,무사고,4080.0
테슬라,SUV,2017,11.7,전기,사고이력,1170.0
현대,경차,2012,8.4,가솔린,무사고,190.0
현대,대형,2015,6.4,가솔린,무사고,1250.0
쉐보레,경차,2008,12.3,가솔린,무사고,150.0
기아,중형,2016,17.9,가솔린,무사고,610.0
르노코리아,SUV,2020,5.6,LPG,무사고,1260.0
벤츠,준중형,2010,9.5,하이브리드,무사고,520.0
현대,경차,2010,25.6,디젤,무사고,150.0
현대,준중형,2024,3.4,하이브리드,단순수리,1810.0
테슬라,SUV,2016,16.3,전기,무사고,1220.0
기아,대형,2023,5.2,가솔린,무사고,3290.0
현대,SUV,2014,6.3,디젤,단순수리,700.0
기아,경차,2024,3.1,가솔린,단순수리,900.0
르노코리아,준중형,2026,0.0,LPG,무사고,1890.0
렉서스,중형,2024,2.3,가솔린,무사고,4040.0
기아,중형,2020,11.5,디젤,무사고,1220.0
기아,대형,2019,10.4,디젤,단순수리,1610.0
아우디,대형,2026,0.1,가솔린,단순수리,8630.0
제네시스,SUV,2009,34.2,디젤,무사고,440.0
현대,SUV,2011,29.7,가솔린,무사고,400.0
렉서스,대형,2015,15.9,디젤,단순수리,1210.0
현대,SUV,2025,1.5,가솔린,무사고,3520.0
현대,준중형,2026,0.9,하이브리드,무사고,2680.0
BMW,대형,2019,9.0,LPG,무사고,2800.0
제네시스,대형,2015,8.3,디젤,무사고,1740.0
기아,준중형,2009,30.5,가솔린,무사고,190.0
KG모빌리티,중형,2016,9.7,가솔린,사고이력,560.0
르노코리아,SUV,2010,15.0,하이브리드,단순수리,320.0
포르쉐,SUV,2026,0.0,가솔린,무사고,12090.0
현대,SUV,2024,2.8,가솔린,무사고,2780.0
볼보,대형,2019,12.6,가솔린,무사고,2450.0
아우디,준중형,2011,32.7,하이브리드,무사고,420.0
볼보,대형,2011,18.6,가솔린,단순수리,760.0
렉서스,SUV,2014,17.7,가솔린,무사고,880.0
렉서스,중형,2022,6.5,가솔린,무사고,2750.0
현대,중형,2010,34.7,LPG,무사고,280.0
기아,경차,2012,8.4,하이브리드,무사고,220.0
쉐보레,SUV,2015,15.8,LPG,단순수리,490.0
쉐보레,SUV,2010,32.6,가솔린,무사고,320.0
BMW,준중형,2022,8.3,하이브리드,무사고,2370.0
현대,대형,2026,0.0,가솔린,무사고,5520.0
BMW,중형,2015,22.4,디젤,무사고,920.0
BMW,준중형,2016,20.5,가솔린,단순수리,760.0
현대,전기차 전용,2016,20.1,전기,단순수리,910.0
테슬라,SUV,2014,21.2,전기,무사고,940.0
르노코리아,SUV,2025,1.2,가솔린,무사고,2890.0
현대,SUV,2009,27.8,디젤,무사고,280.0
기아,경차,2022,7.4,디젤,무사고,640.0
현대,준중형,2013,21.7,가솔린,무사고,330.0
테슬라,SUV,2019,6.7,전기,무사고,2490.0
제네시스,대형,2021,2.5,하이브리드,단순수리,4270.0
테슬라,SUV,2024,2.6,전기,무사고,4920.0
기아,SUV,2012,29.1,하이브리드,사고이력,390.0
아우디,준중형,2022,4.6,가솔린,단순수리,2040.0
기아,중형,2019,9.2,하이브리드,단순수리,1130.0
현대,경차,2014,23.1,가솔린,단순수리,170.0
제네시스,대형,2026,0.1,가솔린,단순수리,8270.0
포르쉐,SUV,2009,13.0,가솔린,사고이력,830.0
현대,SUV,2023,2.3,디젤,무사고,2520.0
벤츠,준중형,2026,0.0,가솔린,단순수리,4640.0
기아,준중형,2016,12.7,디젤,무사고,510.0
폭스바겐,SUV,2023,4.1,디젤,단순수리,2720.0
렉서스,중형,2010,32.7,가솔린,무사고,430.0
현대,준중형,2008,22.5,가솔린,단순수리,170.0
현대,경차,2010,31.1,가솔린,단순수리,150.0
제네시스,대형,2022,3.8,가솔린,단순수리,4320.0
제네시스,대형,2012,12.2,가솔린,무사고,1010.0
현대,경차,2023,4.1,가솔린,단순수리,800.0
제네시스,중형,2024,3.1,가솔린,무사고,3850.0
기아,준중형,2021,7.0,하이브리드,단순수리,1090.0
현대,전기차 전용,2019,9.3,전기,무사고,1930.0
폭스바겐,중형,2018,9.6,가솔린,무사고,1300.0
벤츠,SUV,2009,8.2,하이브리드,단순수리,690.0
렉서스,중형,2016,13.1,가솔린,무사고,1080.0
기아,준중형,2020,4.8,가솔린,무사고,1050.0
현대,대형,2024,1.8,가솔린,무사고,4200.0
BMW,중형,2011,30.0,가솔린,무사고,560.0
BMW,중형,2010,31.3,하이브리드,무사고,600.0
현대,준중형,2015,11.5,디젤,단순수리,400.0
포르쉐,스포츠카,2017,11.0,가솔린,무사고,6600.0
현대,대형,2014,10.9,하이브리드,무사고,1030.0
제네시스,대형,2016,15.7,LPG,무사고,1320.0
쉐보레,SUV,2018,10.6,디젤,무사고,920.0
제네시스,대형,2009,14.1,가솔린,무사고,690.0
아우디,대형,2012,27.2,디젤,단순수리,820.0
테슬라,SUV,2015,22.6,전기,무사고,970.0
벤츠,SUV,2018,5.1,하이브리드,무사고,2540.0
현대,대형,2022,4.3,가솔린,무사고,3070.0
현대,중형,2022,5.6,LPG,사고이력,1440.0
기아,전기차 전용,2019,13.0,전기,단순수리,1520.0
BMW,대형,2026,0.6,가솔린,무사고,9190.0
아우디,준중형,2023,3.3,하이브리드,무사고,2870.0
쉐보레,준중형,2021,3.7,가솔린,단순수리,1000.0
쉐보레,SUV,2017,7.9,가솔린,무사고,910.0
테슬라,전기차 전용,2015,21.7,전기,무사고,1370.0
렉서스,SUV,2020,7.7,가솔린,무사고,2490.0
테슬라,SUV,2008,31.3,전기,사고이력,330.0
테슬라,SUV,2023,2.5,전기,단순수리,3800.0
KG모빌리티,중형,2025,1.4,가솔린,무사고,2780.0
기아,SUV,2011,14.5,가솔린,단순수리,390.0
폭스바겐,준중형,2026,0.0,가솔린,단순수리,3040.0
KG모빌리티,SUV,2025,2.8,가솔린,무사고,2750.0
제네시스,중형,2015,6.8,하이브리드,무사고,1290.0
BMW,준중형,2008,13.2,LPG,무사고,300.0
테슬라,SUV,2026,0.0,전기,무사고,6200.0
기아,경차,2018,16.8,디젤,무사고,310.0
BMW,대형,2024,4.9,가솔린,무사고,6720.0
테슬라,SUV,2015,19.9,전기,무사고,1010.0
벤츠,준중형,2020,8.0,디젤,무사고,1790.0
기아,SUV,2010,21.9,가솔린,무사고,360.0
르노코리아,중형,2017,11.3,디젤,무사고,700.0
현대,대형,2026,0.0,가솔린,무사고,6060.0
BMW,대형,2022,4.9,하이브리드,단순수리,5220.0
벤츠,SUV,2020,12.4,가솔린,단순수리,2220.0
벤츠,중형,2016,8.0,가솔린,무사고,1560.0
벤츠,준중형,2024,3.0,LPG,무사고,2920.0
기아,준중형,2018,16.3,디젤,무사고,540.0
르노코리아,SUV,2010,15.4,가솔린,무사고,300.0
현대,중형,2017,16.0,하이브리드,무사고,810.0
기아,중형,2014,9.7,가솔린,무사고,650.0
기아,준중형,2013,9.9,가솔린,무사고,380.0
아우디,준중형,2025,1.2,하이브리드,사고이력,3130.0
렉서스,SUV,2025,2.4,가솔린,무사고,4980.0
르노코리아,중형,2015,16.8,하이브리드,무사고,500.0
아우디,준중형,2024,5.2,하이브리드,무사고,3020.0
기아,SUV,2019,13.9,디젤,무사고,990.0
기아,SUV,2009,35.9,하이브리드,단순수리,290.0
현대,준중형,2023,2.7,가솔린,단순수리,1630.0
기아,전기차 전용,2013,28.0,전기,무사고,690.0
기아,SUV,2022,7.3,하이브리드,무사고,2020.0
BMW,중형,2026,0.6,가솔린,단순수리,5280.0
제네시스,대형,2022,5.1,가솔린,무사고,4490.0
볼보,대형,2020,10.3,가솔린,무사고,3070.0
기아,전기차 전용,2021,9.5,전기,무사고,2270.0
기아,중형,2016,10.2,하이브리드,단순수리,770.0
기아,경차,2012,10.1,가솔린,무사고,200.0
제네시스,중형,2008,14.3,하이브리드,무사고,430.0
볼보,중형,2024,2.0,하이브리드,무사고,4120.0
아우디,대형,2010,30.0,디젤,무사고,780.0
KG모빌리티,SUV,2022,6.4,가솔린,무사고,1750.0
르노코리아,중형,2019,8.0,하이브리드,무사고,1160.0
벤츠,중형,2017,7.7,LPG,단순수리,1540.0
포르쉐,스포츠카,2014,20.1,LPG,무사고,3320.0
렉서스,중형,2013,24.0,LPG,사고이력,460.0
아우디,준중형,2014,18.7,하이브리드,무사고,600.0
벤츠,중형,2018,10.5,가솔린,단순수리,1560.0
제네시스,대형,2025,0.0,하이브리드,단순수리,7880.0
기아,대형,2018,15.9,가솔린,무사고,1400.0
벤츠,준중형,2020,10.8,가솔린,무사고,1670.0
기아,경차,2024,2.6,디젤,무사고,1030.0
테슬라,SUV,2025,1.4,전기,무사고,5310.0
현대,중형,2009,37.8,가솔린,단순수리,250.0
아우디,준중형,2019,14.1,가솔린,단순수리,1060.0
기아,준중형,2016,7.7,가솔린,무사고,600.0
볼보,SUV,2014,19.8,가솔린,단순수리,700.0
기아,중형,2021,10.0,디젤,무사고,1390.0
BMW,중형,2019,11.1,디젤,단순수리,1690.0
현대,SUV,2016,11.5,가솔린,무사고,870.0
기아,전기차 전용,2023,4.4,전기,무사고,3530.0
BMW,대형,2025,1.5,디젤,단순수리,6900.0
KG모빌리티,SUV,2017,19.0,가솔린,사고이력,540.0
기아,중형,2012,9.5,가솔린,단순수리,480.0
현대,준중형,2018,6.0,가솔린,단순수리,750.0
BMW,중형,2015,18.9,하이브리드,무사고,1070.0
볼보,대형,2026,0.1,가솔린,무사고,8190.0
포르쉐,스포츠카,2026,0.0,하이브리드,사고이력,22360.0
KG모빌리티,SUV,2023,3.5,LPG,사고이력,1640.0
아우디,SUV,2013,14.0,디젤,무사고,810.0
제네시스,SUV,2022,4.0,가솔린,무사고,3360.0
쉐보레,경차,2012,24.7,가솔린,무사고,150.0
벤츠,SUV,2013,8.4,디젤,무사고,1150.0
현대,대형,2019,8.4,가솔린,단순수리,1910.0
현대,대형,2011,30.5,가솔린,무사고,570.0
벤츠,준중형,2019,14.0,가솔린,무사고,1270.0
기아,SUV,2008,19.8,가솔린,무사고,270.0
BMW,대형,2022,7.8,가솔린,무사고,4940.0
기아,준중형,2008,15.4,가솔린,무사고,190.0
테슬라,전기차 전용,2011,31.3,전기,사고이력,700.0
현대,전기차 전용,2022,8.9,전기,사고이력,2200.0
현대,경차,2024,1.6,가솔린,무사고,1000.0
벤츠,대형,2009,28.8,가솔린,무사고,760.0
포르쉐,스포츠카,2021,6.1,가솔린,무사고,13190.0
벤츠,준중형,2012,27.6,하이브리드,무사고,560.0
테슬라,전기차 전용,2012,22.6,전기,무사고,880.0
벤츠,SUV,2014,8.7,하이브리드,무사고,1370.0
볼보,SUV,2017,18.0,LPG,단순수리,890.0
렉서스,SUV,2017,6.7,디젤,무사고,1520.0
현대,준중형,2016,12.1,가솔린,무사고,540.0
제네시스,중형,2020,4.3,가솔린,무사고,2210.0
폭스바겐,준중형,2015,15.2,가솔린,무사고,510.0
쉐보레,중형,2009,31.6,가솔린,단순수리,230.0
기아,SUV,2022,6.1,LPG,무사고,1860.0
KG모빌리티,SUV,2010,18.0,가솔린,무사고,300.0
기아,경차,2017,19.9,가솔린,무사고,300.0
기아,SUV,2017,6.4,LPG,무사고,1070.0
기아,전기차 전용,2017,17.0,전기,무사고,1200.0
제네시스,중형,2018,17.1,가솔린,무사고,1160.0
기아,SUV,2020,4.5,가솔린,무사고,1670.0
벤츠,중형,2016,10.8,디젤,무사고,1380.0
기아,SUV,2008,25.0,가솔린,단순수리,230.0
폭스바겐,SUV,2025,1.2,디젤,사고이력,3160.0
현대,경차,2017,12.7,디젤,무사고,320.0
기아,준중형,2008,11.7,가솔린,무사고,200.0
기아,전기차 전용,2015,11.8,전기,무사고,990.0
현대,준중형,2011,27.5,하이브리드,무사고,270.0
기아,경차,2022,7.6,하이브리드,무사고,780.0
폭스바겐,SUV,2013,26.3,LPG,단순수리,480.0
벤츠,준중형,2008,32.5,디젤,단순수리,260.0
기아,전기차 전용,2015,7.0,전기,무사고,1210.0
쉐보레,경차,2024,2.1,가솔린,무사고,940.0
쉐보레,준중형,2012,19.3,가솔린,무사고,250.0
폭스바겐,SUV,2012,30.0,LPG,단순수리,430.0
KG모빌리티,SUV,2011,29.2,가솔린,사고이력,250.0
BMW,중형,2021,2.6,하이브리드,무사고,3360.0
기아,경차,2020,3.8,하이브리드,무사고,640.0
BMW,중형,2021,6.1,가솔린,사고이력,2240.0
렉서스,중형,2017,19.3,가솔린,사고이력,920.0
기아,준중형,2014,15.3,가솔린,사고이력,290.0
벤츠,대형,2009,9.8,가솔린,단순수리,870.0
테슬라,SUV,2022,7.9,전기,무사고,3190.0
