years_experience,job_role,main_language,education,company_size,salary
2,DevOps/인프라,Go,고졸,중소기업 (50~300명),6270
20,ML 엔지니어,SQL,학사,중견기업 (300~1000명),9070
17,QA,Go,학사,스타트업 (~50명),7070
11,QA,Go,학사,중소기업 (50~300명),6250
11,ML 엔지니어,C#,학사,중소기업 (50~300명),7600
22,모바일,JavaScript/TypeScript,학사,중견기업 (300~1000명),8460
2,데이터 엔지니어,JavaScript/TypeScript,학사,대기업 (1000명~),5560
18,모바일,Kotlin,학사,대기업 (1000명~),8820
5,데이터 엔지니어,Python,석사,중견기업 (300~1000명),6690
2,DevOps/인프라,Python,학사,중견기업 (300~1000명),6010
13,모바일,C/C++,학사,중견기업 (300~1000명),7800
25,데이터 분석가,Kotlin,학사,중소기업 (50~300명),8210
19,백엔드,Go,석사,스타트업 (~50명),8410
19,ML 엔지니어,Go,학사,중견기업 (300~1000명),8600
18,데이터 분석가,C#,학사,중견기업 (300~1000명),7830
20,데이터 분석가,Python,학사,중소기업 (50~300명),7740
13,데이터 분석가,JavaScript/TypeScript,학사,대기업 (1000명~),8430
3,프론트엔드,Python,학사,중견기업 (300~1000명),5730
21,데이터 엔지니어,Kotlin,석사,중소기업 (50~300명),9220
11,ML 엔지니어,Kotlin,학사,스타트업 (~50명),8070
13,모바일,JavaScript/TypeScript,학사,스타트업 (~50명),6620
9,프론트엔드,JavaScript/TypeScript,학사,중소기업 (50~300명),5270
4,모바일,JavaScript/TypeScript,석사,중소기업 (50~300명),6430
24,프론트엔드,기타,석사,스타트업 (~50명),8110
20,모바일,C#,석사,스타트업 (~50명),7580
16,데이터 엔지니어,Kotlin,학사,스타트업 (~50명),7370
10,프론트엔드,C#,석사,중견기업 (300~1000명),7120
21,ML 엔지니어,Kotlin,학사,중견기업 (300~1000명),9540
14,풀스택,C#,학사,중소기업 (50~300명),7350
11,QA,JavaScript/TypeScript,학사,스타트업 (~50명),7090
11,ML 엔지니어,SQL,석사,스타트업 (~50명),7990
5,풀스택,Kotlin,학사,스타트업 (~50명),5700
2,데이터 엔지니어,Kotlin,학사,중소기업 (50~300명),5330
14,백엔드,기타,학사,스타트업 (~50명),7320
23,백엔드,JavaScript/TypeScript,학사,중소기업 (50~300명),8670
1,QA,Python,학사,대기업 (1000명~),5950
22,DevOps/인프라,Go,학사,중소기업 (50~300명),8350
